0 + zero =  answer=0 
0 + one =  answer=1 
0 + two =  answer=2 
zero + 3 =  answer=3 
zero + 4 =  answer=4 
zero + 5 =  answer=5 
zero + 6 =  answer=6 
0 + seven =  answer=7 
zero + 8 =  answer=8 
0 + nine =  answer=9 
one + 0 =  answer=1 
1 + one =  answer=2 
one + 2 =  answer=3 
1 + three =  answer=4 
1 + four =  answer=5 
1 + five =  answer=6 
1 + six =  answer=7 
1 + seven =  answer=8 
1 + eight =  answer=9 
1 + nine =  answer=10 
two + 0 =  answer=2 
2 + one =  answer=3 
2 + two =  answer=4 
2 + three =  answer=5 
2 + four =  answer=6 
2 + five =  answer=7 
2 + six =  answer=8 
2 + seven =  answer=9 
two + 8 =  answer=10 
2 + nine =  answer=11 
3 + zero =  answer=3 
three + 1 =  answer=4 
three + 2 =  answer=5 
3 + three =  answer=6 
three + 4 =  answer=7 
3 + five =  answer=8 
3 + six =  answer=9 
three + 7 =  answer=10 
three + 8 =  answer=11 
3 + nine =  answer=12 
four + 0 =  answer=4 
four + 1 =  answer=5 
4 + two =  answer=6 
four + 3 =  answer=7 
four + 4 =  answer=8 
four + 5 =  answer=9 
4 + six =  answer=10 
4 + seven =  answer=11 
four + 8 =  answer=12 
four + 9 =  answer=13 
five + 0 =  answer=5 
5 + one =  answer=6 
5 + two =  answer=7 
5 + three =  answer=8 
5 + four =  answer=9 
five + 5 =  answer=10 
5 + six =  answer=11 
five + 7 =  answer=12 
five + 8 =  answer=13 
five + 9 =  answer=14 
six + 0 =  answer=6 
6 + one =  answer=7 
six + 2 =  answer=8 
six + 3 =  answer=9 
6 + four =  answer=10 
six + 5 =  answer=11 
six + 6 =  answer=12 
6 + seven =  answer=13 
6 + eight =  answer=14 
6 + nine =  answer=15 
7 + zero =  answer=7 
7 + one =  answer=8 
7 + two =  answer=9 
seven + 3 =  answer=10 
7 + four =  answer=11 
seven + 5 =  answer=12 
7 + six =  answer=13 
seven + 7 =  answer=14 
7 + eight =  answer=15 
7 + nine =  answer=16 
eight + 0 =  answer=8 
8 + one =  answer=9 
8 + two =  answer=10 
8 + three =  answer=11 
eight + 4 =  answer=12 
8 + five =  answer=13 
eight + 6 =  answer=14 
8 + seven =  answer=15 
eight + 8 =  answer=16 
8 + nine =  answer=17 
nine + 0 =  answer=9 
nine + 1 =  answer=10 
nine + 2 =  answer=11 
nine + 3 =  answer=12 
9 + four =  answer=13 
9 + five =  answer=14 
nine + 6 =  answer=15 
nine + 7 =  answer=16 
9 + eight =  answer=17 
9 + nine =  answer=18 
thirty-one + 63 =  answer=94 
ninety-one + 46 =  answer=137 
37 + seventy =  answer=107 
74 + seventy-seven =  answer=151 
ten + 11 =  answer=21 
84 + sixty-four =  answer=148 
28 + thirty-nine =  answer=67 
ninety-eight + 15 =  answer=one hundred and five 
sixty-two + 88 =  answer=146 
fourteen + 52 =  answer=66 
ninety-eight + 24 =  answer=122 
12 + twenty-nine =  answer=41 
twenty-five + 12 =  answer=thirty-seven 
thirty + 80 =  answer=110 
61 + seventy-two =  answer=133 
33 + ninety-five =  answer=128 
70 + forty =  answer=110 
35 + thirty-six =  answer=71 
twenty-five + 81 =  answer=106 
81 + fifty-nine =  answer=140 
fifty-three + 28 =  answer=81 
forty-seven + 56 =  answer=103 
seventy-four + 59 =  answer=133 
seventy-two + 59 =  answer=131 
13 + twenty-one =  answer=34 
seventy-three + 10 =  answer=eighty-three 
18 + eighty =  answer=98 
eighty-three + 87 =  answer=169 
81 + eighty-nine =  answer=170 
thirty-one + 90 =  answer=121 
fifty-two + 54 =  answer=106 
41 + twenty-three =  answer=64 
eighteen + 32 =  answer=50 
57 + thirty =  answer=87 
96 + seventy-six =  answer=172 
62 + thirty =  answer=92 
fifty-four + 72 =  answer=126 
95 + forty-one =  answer=136 
30 + eighty-one =  answer=111 
sixty-six + 62 =  answer=128 
17 + forty-six =  answer=63 
forty-three + 94 =  answer=137 
14 + sixty-three =  answer=77 
31 + sixty =  answer=91 
53 + ninety-two =  answer=145 
29 + seventy-one =  answer=100 
forty-two + 27 =  answer=69 
thirteen + 37 =  answer=49 
twenty-nine + 57 =  answer=86 
seventy-two + 84 =  answer=156 
forty-nine + 27 =  answer=76 
twenty-seven + 11 =  answer=thirty-eight 
97 + twenty-six =  answer=123 
forty-three + 85 =  answer=128 
ninety-two + 41 =  answer=133 
forty-two + 97 =  answer=139 
27 + twenty-seven =  answer=54 
22 + sixty =  answer=84 
thirty-three + 13 =  answer=46 
28 + nineteen =  answer=47 
93 + forty-six =  answer=146 
forty-eight + 78 =  answer=126 
60 + seventy-three =  answer=133 
89 + thirty-one =  answer=120 
33 + fifty-eight =  answer=81 
100 + eighty =  answer=180 
87 + one hundred =  answer=187 
eleven + 59 =  answer=60 
18 + sixty =  answer=78 
thirty-nine + 42 =  answer=71 
fifteen + 41 =  answer=56 
twenty-nine + 49 =  answer=78 
seventy-four + 80 =  answer=154 
83 + twenty-two =  answer=105 
seventy-five + 86 =  answer=161 
seventy-six + 49 =  answer=125 
99 + eighty-nine =  answer=188 
eighteen + 88 =  answer=106 
35 + fifty-five =  answer=90 
fifty + 94 =  answer=149 
23 + nineteen =  answer=42 
90 + sixty-seven =  answer=157 
ninety-seven + 92 =  answer=189 
seventy + 76 =  answer=143 
61 + nineteen =  answer=80 
thirteen + 16 =  answer=29 
forty-five + 100 =  answer=145 
64 + sixty-eight =  answer=132 
sixty-one + 59 =  answer=120 
72 + thirty-nine =  answer=109 
14 + seventy-one =  answer=85 
72 + fifty-seven =  answer=129 
