0 + zero =  answer= none 
0 + one =  answer=one 
0 + two =  answer=two 
zero + 3 =  answer= three 
zero + 4 =  answer= four 
zero + 5 =  answer= five 
zero + 6 =  answer= six 
0 + seven =  answer= eight 
zero + 8 =  answer= eight 
0 + nine =  answer= ten 
one + 0 =  answer=one 
1 + one =  answer= two 
one + 2 =  answer= three 
1 + three =  answer= four 
1 + four =  answer= five 
1 + five =  answer= six 
1 + six =  answer= seven 
1 + seven =  answer= eight 
1 + eight =  answer= nine 
1 + nine =  answer= ten 
two + 0 =  answer= two 
2 + one =  answer= three 
2 + two =  answer= four 
2 + three =  answer= five 
2 + four =  answer= six 
2 + five =  answer= seven 
2 + six =  answer= eight 
2 + seven =  answer= nine 
two + 8 =  answer= ten 
2 + nine =  answer= twelve 
3 + zero =  answer= three 
three + 1 =  answer= four 
three + 2 =  answer= five 
3 + three =  answer= six 
three + 4 =  answer= seven 
3 + five =  answer= eight 
3 + six =  answer= nine 
three + 7 =  answer= ten 
three + 8 =  answer= eleven 
3 + nine =  answer= twelve 
four + 0 =  answer=four 
four + 1 =  answer= five 
4 + two =  answer= six 
four + 3 =  answer= seven 
four + 4 =  answer= eight 
four + 5 =  answer= nine 
4 + six =  answer= ten 
4 + seven =  answer= eleven 
four + 8 =  answer= twelve 
four + 9 =  answer= thirteen 
five + 0 =  answer=five 
5 + one =  answer= six 
5 + two =  answer= seven 
5 + three =  answer= eight 
5 + four =  answer= nine 
five + 5 =  answer= ten 
5 + six =  answer= eleven 
five + 7 =  answer= twelve 
five + 8 =  answer= thirteen 
five + 9 =  answer= fourteen 
six + 0 =  answer=six 
6 + one =  answer= seven 
six + 2 =  answer= eight 
six + 3 =  answer= nine 
6 + four =  answer= ten 
six + 5 =  answer= eleven 
six + 6 =  answer= twelve 
6 + seven =  answer= thirteen 
6 + eight =  answer= fourteen 
6 + nine =  answer= fifteen 
7 + zero =  answer= seven 
7 + one =  answer= eight 
7 + two =  answer= nine 
seven + 3 =  answer= ten 
7 + four =  answer= eleven 
seven + 5 =  answer= twelve 
7 + six =  answer= thirteen 
seven + 7 =  answer= fourteen 
7 + eight =  answer= fifteen 
7 + nine =  answer= sixteen 
eight + 0 =  answer=eight 
8 + one =  answer= nine 
8 + two =  answer= ten 
8 + three =  answer= eleven 
eight + 4 =  answer= twelve 
8 + five =  answer= thirteen 
