zero + zero =  answer=0 
zero + one =  answer=2 
zero + two =  answer=2 
zero + three =  answer=4 
zero + four =  answer=4 
zero + five =  answer=5 
zero + six =  answer=6 
zero + seven =  answer= 7 
zero + eight =  answer=16 
zero + nine =  answer=19 
one + zero =  answer=1 
one + one =  answer=2 
one + two =  answer= 3 
one + three =  answer=4 
one + four =  answer=9 
one + five =  answer=8 
one + six =  answer= 7 
one + seven =  answer=8 
one + eight =  answer=19 
one + nine =  answer=10 
two + zero =  answer=2 
two + one =  answer=2 
two + two =  answer=4 
two + three =  answer=6 
two + four =  answer=6 
two + five =  answer=7 
two + six =  answer=8 
two + seven =  answer=12 
two + eight =  answer=10 
two + nine =  answer=12 
three + zero =  answer= 3 
three + one =  answer=4 
three + two =  answer=5 
three + three =  answer=6 
three + four =  answer=7 
three + five =  answer=8 
three + six =  answer=9 
three + seven =  answer=10 
three + eight =  answer=11 
three + nine =  answer=12 
four + zero =  answer=4 
four + one =  answer=5 
four + two =  answer=6 
four + three =  answer=7 
four + four =  answer=8 
four + five =  answer=9 
four + six =  answer=10 
four + seven =  eight 
four + eight =  answer=12 
four + nine =  answer=13 
five + zero =  answer=5 
five + one =  answer=6 
five + two =  answer=7 
five + three =  answer=8 
five + four =  answer=9 
five + five =  answer=10 
five + six =  answer=11 
five + seven =  eight 
five + eight =  answer=13 
five + nine =  answer=14 
six + zero =  answer=6 
six + one =  answer=7 
six + two =  answer=8 
six + three =  answer=9 
six + four =  answer=10 
six + five =  answer=11 
six + six =  answer=12 
six + seven =  eight 
six + eight =  answer=14 
six + nine =  answer=15 
seven + zero =  answer=7 
seven + one =  answer=8 
seven + two =  answer=9 
seven + three =  answer=10 
seven + four =  answer=11 
seven + five =  answer=12 
seven + six =  answer=13 
seven + seven =  answer=14 
seven + eight =  answer=15 
seven + nine =  answer=16 
eight + zero =  answer=8 
eight + one =  answer=9 
eight + two =  answer=10 
eight + three =  answer=11 
eight + four =  answer=12 
eight + five =  answer=13 
eight + six =  answer=14 
eight + seven =  answer=15 
eight + eight =  answer=16 
eight + nine =  answer=17 
nine + zero =  answer=9 
nine + one =  answer=10 
nine + two =  answer=11 
nine + three =  answer=12 
nine + four =  answer=13 
nine + five =  answer=14 
nine + six =  answer=15 
nine + seven =  answer=16 
nine + eight =  answer=17 
nine + nine =  answer=18 
thirty-one + sixty-three =  answer= ninety-four 
ninety-one + forty-six =  answer= one hundred thirty-seven 
thirty-seven + seventy =  answer=107 
seventy-four + seventy-seven =  answer=151 
ten + eleven =  answer=21 
eighty-four + sixty-four =  answer=148 
twenty-eight + thirty-nine =  answer= seventy-seven 
ninety-eight + fifteen =  answer= one hundred five 
sixty-two + eighty-eight =  answer=150 
fourteen + fifty-two =  answer= ninety-six 
ninety-eight + twenty-four =  answer=122 
twelve + twenty-nine =  answer=51 
twenty-five + twelve =  answer= thirty-seven 
thirty + eighty =  answer=118 
sixty-one + seventy-two =  answer=133 
thirty-three + ninety-five =  answer= one hundred twenty-eight 
seventy + forty =  answer=110 
thirty-five + thirty-six =  answer= seventy-one 
twenty-five + eighty-one =  answer= one hundred and five 
eighty-one + fifty-nine =  answer=140 
fifty-three + twenty-eight =  answer= seventy-nine 
forty-seven + fifty-six =  answer=103 
seventy-four + fifty-nine =  answer=133 
seventy-two + fifty-nine =  answer=129 
thirteen + twenty-one =  answer= 34 
seventy-three + ten =  answer= eighty-three 
eighteen + eighty =  answer=196 
eighty-three + eighty-seven =  answer= one hundred seventy-eight 
eighty-one + eighty-nine =  answer=170 
thirty-one + ninety =  answer=120 
fifty-two + fifty-four =  answer=106 
forty-one + twenty-three =  answer=64 
eighteen + thirty-two =  answer=50 
fifty-seven + thirty =  answer= ninety 
ninety-six + seventy-six =  answer=172 
sixty-two + thirty =  answer= ninety-two 
fifty-four + seventy-two =  answer=126 
ninety-five + forty-one =  answer= one hundred thirty-six 
thirty + eighty-one =  answer=118 
sixty-six + sixty-two =  answer= one hundred twenty-eight 
seventeen + forty-six =  answer=123 
forty-three + ninety-four =  answer=137 
fourteen + sixty-three =  answer= one hundred ten 
thirty-one + sixty =  answer= ninety-one 
fifty-three + ninety-two =  answer= one hundred forty-five 
twenty-nine + seventy-one =  answer= one hundred and ninety. 
forty-two + twenty-seven =  answer=69 
thirteen + thirty-seven =  answer=60 
twenty-nine + fifty-seven =  answer= eighty-six 
seventy-two + eighty-four =  answer=156 
forty-nine + twenty-seven =  answer= seventy-six 
twenty-seven + eleven =  answer= thirty-eight 
ninety-seven + twenty-six =  answer=123 
forty-three + eighty-five =  answer=128 
ninety-two + forty-one =  answer= one hundred thirty-three 
forty-two + ninety-seven =  answer=149 
twenty-seven + twenty-seven =  answer= fifty-four 
