zero + zero =  answer= zero 
zero + one =  answer= one  
zero + two =  answer= two 
zero + three =  answer= three 
zero + four =  answer=four 
zero + five =  answer= five 
zero + six =  answer= six 
zero + seven =  answer= seven 
zero + eight =  answer= eight 
zero + nine =  answer= nineteen 
one + zero =  answer= one  
one + one =  answer= two 
one + two =  answer=three 
one + three =  answer= four  
one + four =  answer= five 
one + five =  answer= six 
one + six =  answer= seven 
one + seven =  answer= eight  
one + eight =  answer= nine 
one + nine =  answer= ten 
two + zero =  answer= two  
two + one =  answer=three 
two + two =  answer= four 
two + three =  answer= five 
two + four =  answer= six 
two + five =  answer= seven 
two + six =  answer= eight 
two + seven =  answer= nine 
two + eight =  answer= ten 
two + nine =  answer= twelve 
three + zero =  answer=three 
three + one =  answer= four  
three + two =  answer= five  
three + three =  answer= six 
three + four =  five 
three + five =  answer= eight 
three + six =  answer= nine 
three + seven =  eight  
three + eight =  answer= eleven 
three + nine =  answer= twelve 
four + zero =  answer=four 
four + one =  answer= five 
four + two =  answer= six 
four + three =  answer= seven 
four + four =  answer= eight 
four + five =  answer= nine 
four + six =  answer= ten 
four + seven =  eight  
four + eight =  answer= twelve 
four + nine =  answer= thirteen 
five + zero =  answer=five 
five + one =  answer= six 
five + two =  answer= seven 
five + three =  answer= eight 
five + four =  answer= nine 
five + five =  answer= ten 
five + six =  answer= eleven 
five + seven =  eight 
five + eight =  answer= thirteen 
five + nine =  answer= fourteen 
six + zero =  answer= six  
six + one =  answer= seven  
six + two =  answer= eight 
six + three =  answer= nine 
six + four =  answer= ten 
six + five =  answer= eleven 
six + six =  answer= twelve 
six + seven =  eight 
six + eight =  answer= fourteen 
six + nine =  answer= fifteen 
seven + zero =  answer=seven  
seven + one =  answer= eight  
seven + two =  answer= nine 
seven + three =  answer= ten 
seven + four =  answer= eleven 
seven + five =  answer= twelve 
seven + six =  answer= thirteen 
seven + seven =  answer= fourteen 
seven + eight =  answer= fifteen 
seven + nine =  answer= sixteen 
eight + zero =  answer=eight 
eight + one =  answer= nine 
eight + two =  answer= ten 
eight + three =  answer= eleven 
eight + four =  answer= twelve 
eight + five =  answer= thirteen 
eight + six =  answer= fourteen 
eight + seven =  answer= fifteen 
eight + eight =  answer= sixteen 
eight + nine =  answer= seventeen 
nine + zero =  answer= nine  
nine + one =  answer= ten 
nine + two =  answer= eleven 
nine + three =  answer= twelve 
nine + four =  answer= thirteen 
nine + five =  answer= fourteen 
nine + six =  answer= fifteen 
nine + seven =  answer= sixteen 
nine + eight =  answer= seventeen 
nine + nine =  answer= eighteen 
thirty-one + sixty-three =  answer= ninety-four 
ninety-one + forty-six =  answer= one hundred thirty-seven 
thirty-seven + seventy =  answer= one hundred and ten 
seventy-four + seventy-seven =  Answer= one hundred fifty-one 
ten + eleven =  answer= twenty-one  
eighty-four + sixty-four =  answer= one hundred forty-eight 
twenty-eight + thirty-nine =  Answer= sixty-seven 
ninety-eight + fifteen =  answer= one hundred five 
sixty-two + eighty-eight =  answer= one hundred fifty. 
fourteen + fifty-two =  answer= ninety-six  
ninety-eight + twenty-four =  answer= one hundred and twenty-two 
twelve + twenty-nine =  Answer= forty-two  
twenty-five + twelve =  answer= thirty-seven 
thirty + eighty =  answer= one hundred and twenty 
sixty-one + seventy-two =  answer= one hundred thirty-three 
thirty-three + ninety-five =  answer= one hundred twenty-eight 
seventy + forty =  answer= one hundred and fifteen 
thirty-five + thirty-six =  answer= seventy-one  
twenty-five + eighty-one =  answer= one hundred and five 
eighty-one + fifty-nine =  answer= one hundred and thirty . 
fifty-three + twenty-eight =  Answer= eighty-one  
forty-seven + fifty-six =  Answer= one hundred and six. 
seventy-four + fifty-nine =  Answer= one hundred twenty-three 
seventy-two + fifty-nine =  Answer= one hundred twenty-one 
thirteen + twenty-one =  answer= thirty-four 
seventy-three + ten =  answer= eighty-three 
eighteen + eighty =  answer= one hundred and ninety-eight  
eighty-three + eighty-seven =  answer= one hundred seventy. 
eighty-one + eighty-nine =  answer= one hundred seventy . 
thirty-one + ninety =  answer= one hundred and twenty-one 
fifty-two + fifty-four =  Answer= one hundred and five. 
forty-one + twenty-three =  Answer= sixty-four 
eighteen + thirty-two =  answer= fifty 
fifty-seven + thirty =  answer= eighty-seven 
ninety-six + seventy-six =  answer= one hundred sixty-two 
sixty-two + thirty =  answer= ninety-two 
fifty-four + seventy-two =  answer= one hundred twenty-six 
ninety-five + forty-one =  answer= one hundred thirty-six 
thirty + eighty-one =  answer= one hundred and twenty-nine  
sixty-six + sixty-two =  answer= one hundred twenty-eight 
seventeen + forty-six =  answer= one hundred twenty-three  
forty-three + ninety-four =  answer= one hundred thirty-seven 
fourteen + sixty-three =  answer= one hundred and ten 
thirty-one + sixty =  answer= ninety-one  
fifty-three + ninety-two =  answer= one hundred and forty-five 
twenty-nine + seventy-one =  Answer= one hundred and ninety. 
forty-two + twenty-seven =  answer= sixty-nine 
thirteen + thirty-seven =  answer= sixty-eight 
twenty-nine + fifty-seven =  Answer= eighty-six  
seventy-two + eighty-four =  answer= one hundred fifty-six 
forty-nine + twenty-seven =  Answer= seventy-six  
twenty-seven + eleven =  answer= thirty-eight  
ninety-seven + twenty-six =  Answer= one hundred twenty-three 
forty-three + eighty-five =  answer= one hundred twenty-eight 
ninety-two + forty-one =  answer= one hundred thirty-three 
forty-two + ninety-seven =  answer= one hundred thirty-nine 
twenty-seven + twenty-seven =  Answer= fifty-four 
twenty-two + sixty =  answer= eighty-two  
thirty-three + thirteen =  answer= forty-six 
twenty-eight + nineteen =  answer= forty-seven  
ninety-three + forty-six =  answer= one hundred thirty-nine 
forty-eight + seventy-eight =  answer= one hundred sixty-six 
sixty + seventy-three =  answer= one hundred thirty-three 
eighty-nine + thirty-one =  answer= one hundred twenty 
thirty-three + fifty-eight =  Answer= ninety-one  
one hundred + eighty =  answer= two hundred and eighty 
eighty-seven + one hundred =  answer= one hundred and ninety-seven  
eleven + fifty-nine =  Answer= one hundred sixteen 
eighteen + sixty =  answer= eighty-eight  
thirty-nine + forty-two =  answer=seventy-one 
fifteen + forty-one =  answer= ninety-six  
twenty-nine + forty-nine =  Answer=seventy-eight 
seventy-four + eighty =  answer= one hundred fifty-two 
eighty-three + twenty-two =  answer= one hundred and five 
seventy-five + eighty-six =  answer= one hundred fifty-eight 
seventy-six + forty-nine =  answer= one hundred twenty-five 
ninety-nine + eighty-nine =  one hundred and eighty-eight 
eighteen + eighty-eight =  answer= one hundred ninety-six  
thirty-five + fifty-five =  answer= ninety   
fifty + ninety-four =  answer= one hundred forty-nine  
twenty-three + nineteen =  Answer= forty-two  
ninety + sixty-seven =  answer= one hundred fifty-seven 
ninety-seven + ninety-two =  answer= one hundred eighty-nine 
seventy + seventy-six =  answer= one hundred forty-six 
sixty-one + nineteen =  answer= eighty  
thirteen + sixteen =  answer= twenty-nine  
forty-five + one hundred =  answer= one hundred and fifty 
sixty-four + sixty-eight =  answer= one hundred thirty-two 
sixty-one + fifty-nine =  answer= one hundred twenty   
