zero + minus one =  answer=negative one 
zero + minus two =  answer=negative two 
minus three + zero =  answer=zero 
minus four + zero =  answer=minus four  
zero + minus five =  answer=-five 
minus six + zero =  answer=six 
zero + minus seven =  answer=-seven 
minus eight + zero =  answer=eight 
minus nine + zero =  answer=nine  
minus one + one =  answer=zero 
minus two + one =  answer=zero 
one + minus three =  answer=zero 
one + minus four =  answer=negative three 
one + minus five =  answer=negative four  
one + minus six =  answer=five 
one + minus seven =  answer=four 
one + minus eight =  answer=minus seven  
minus nine + one =  answer=zero 
two + minus one =  answer=zero 
minus two + two =  answer=zero 
two + minus three =  answer=zero 
minus four + two =  answer=zero 
two + minus five =  answer=negative three 
two + minus six =  answer=negative four 
minus seven + two =  answer=five 
minus eight + two =  answer=zero 
two + minus nine =  answer=minus seven 
three + minus one =  answer=two 
three + minus two =  answer=one 
three + minus three =  answer=zero 
minus four + three =  answer=zero 
minus five + three =  answer=two 
three + minus six =  answer=seven 
minus seven + three =  answer=zero 
three + minus eight =  answer=five 
three + minus nine =  answer=four 
minus one + four =  answer=three 
minus two + four =  answer=two 
minus three + four =  answer=two 
minus four + four =  answer=zero 
minus five + four =  answer=nine 
minus six + four =  answer=eight 
minus seven + four =  answer=seven 
four + minus eight =  answer=six 
minus nine + four =  answer=five 
five + minus one =  answer=four 
minus two + five =  answer=three 
five + minus three =  answer=two 
minus four + five =  answer=one 
minus five + five =  answer=zero 
minus six + five =  answer=zero 
five + minus seven =  answer=two 
minus eight + five =  answer=seven 
minus nine + five =  answer=six 
minus one + six =  answer=five 
minus two + six =  answer=four 
six + minus three =  answer=three 
six + minus four =  answer=two 
minus five + six =  answer=one 
six + minus six =  answer=zero 
minus seven + six =  answer=nine 
six + minus eight =  answer=zero 
minus nine + six =  answer=seven 
minus one + seven =  answer=six  
minus two + seven =  answer=five 
minus three + seven =  answer=four 
seven + minus four =  answer=three 
seven + minus five =  answer=two 
seven + minus six =  answer=one 
minus seven + seven =  answer=zero 
seven + minus eight =  answer=minus one 
seven + minus nine =  answer=eight 
eight + minus one =  answer=seven 
eight + minus two =  answer=six 
minus three + eight =  answer=five 
eight + minus four =  answer=four 
eight + minus five =  answer=three 
minus six + eight =  answer=two 
eight + minus seven =  answer answer=one 
eight + minus eight =  answer=zero 
eight + minus nine =  answer=zero 
nine + minus one =  answer=eight 
nine + minus two =  answer=seven 
nine + minus three =  answer=six 
minus four + nine =  answer=five 
minus five + nine =  answer=four 
minus six + nine =  answer=three 
nine + minus seven =  answer=two 
nine + minus eight =  answer=one 
minus nine + nine =  answer=zero 
minus thirty-one + sixty-three =  answer=thirty-two  
minus ninety-one + forty-six =  answer=thirty-five 
thirty-seven + minus seventy =  answer=minus thirty-three 
seventy-four + minus seventy-seven =  answer=three 
minus ten + eleven =  answer=one  
eighty-four + minus sixty-four =  answer=twenty 
twenty-eight + minus thirty-nine =  answer=negative three 
