2 =  factors = [1, 2] 
23 =  factors = [1, 7, 23] 
31 =  factors = [1, 3, 9, 31] 
37 =  factors = [1, 3, 19, 37] 
41 =  factors = [1, 7, 41] 
47 =  factors = [1, 3, 19, 47] 
67 =  factors = [1, 3, 23, 67] 
73 =  factors = [1, 3, 21, 73] 
83 =  factors = [1, 3, 9, 27, 83] 
89 =  factors = [1, 7, 89] 
97 =  factors = [1, 3, 29] 
107 =  factors = [1, 3, 29, 107] 
127 =  factors = [1, 3, 9, 27, 127] 
137 =  factors = [1, 3, 9, 137] 
149 =  factors = [1, 7, 13, 149] 
163 =  factors = [1, 79, 163] 
167 =  factors = [1, 3, 29, 167] 
181 =  factors = [1, 7, 13, 19, 181] 
193 =  factors = [1, 7, 193] 
197 =  factors = [1, 3, 61, 197] 
211 =  factors = [1, 3, 7, 21, 211] 
223 =  factors = [1, 79, 223] 
227 =  factors = [1, 3, 9, 227] 
229 =  factors = [1, 7, 41, 229] 
233 =  factors = [1, 3, 9, 233] 
239 =  factors = [1, 7, 47, 239] 
241 =  factors = [1, 7, 19, 241] 
251 =  factors = [1, 3, 9, 27, 83, 251] 
263 =  factors = [1, 79, 263] 
269 =  factors = [1, 7, 49, 269] 
271 =  factors = [1, 3, 9, 27, 81, 271] 
277 =  factors = [1, 3, 9, 27, 81, 277] 
307 =  factors = [1, 3, 9, 27, 307] 
317 =  factors = [1, 3, 9, 27, 317] 
349 =  factors = [1, 7, 349] 
353 =  factors = [1, 3, 9, 353] 
359 =  factors = [1, 7, 49, 359] 
373 =  factors = [1, 3, 9, 373] 
419 =  factors = [1, 7, 41, 419] 
421 =  factors = [1, 7, 49, 421] 
431 =  factors = [1, 7, 43, 431] 
433 =  factors = [1, 7, 43, 47, 91, 649] 
439 =  factors = [1, 7, 43, 439] 
449 =  factors = [1, 7, 43, 449] 
461 =  factors = [1, 7, 43, 461] 
463 =  factors = [1, 7, 43, 463] 
467 =  factors = [1, 3, 9, 467] 
487 =  factors = [1, 3, 9, 27, 487] 
521 =  factors = [1, 7, 49, 521] 
541 =  factors = [1, 7, 9, 23, 37, 541] 
547 =  factors = [1, 3, 9, 27, 547] 
557 =  factors = [1, 3, 9, 29, 557] 
563 =  factors = [1, 3, 9, 27, 563] 
569 =  factors = [1, 7, 49, 569] 
577 =  factors = [1, 3, 9, 29, 577] 
593 =  factors = [1, 7, 49, 593] 
607 =  factors = [1, 3, 21, 607] 
647 =  factors = [1, 3, 29, 647] 
653 =  factors = [1, 3, 9, 27, 653] 
673 =  factors = [1, 3, 9, 29, 87, 673] 
677 =  factors = [1, 3, 29, 677] 
683 =  factors = [1, 79, 683] 
691 =  factors = [1, 7, 41, 691] 
709 =  factors = [1, 3, 23, 709] 
